City,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10
Denver,7,7,2,5,6,3,7,7,4,7
Denver,5,4,6,5,6,3,2,4,3,5
Los Angeles,7,7,7,7,7,4,4,4,4,7
Boston,7,7,7,7,7,7,7,7,7,7
Los Angeles,5,6,7,4,7,4,5,5,3,5
Denver,6,7,4,7,7,4,1,6,2,4
Denver,7,7,6,1,1,6,6,2,2,2
Boston,6,6,6,5,6,4,4,3,4,4
Denver,7,7,5,7,7,6,4,4,4,3
Boston,7,6,6,6,7,3,7,6,3,3
Los Angeles,7,7,6,7,7,6,7,7,5,7
Boston,7,7,7,7,7,6,4,7,4,6
Denver,7,7,7,7,7,5,5,7,7,5
Denver,5,5,6,5,6,4,3,5,4,4
Denver,6,7,5,7,7,4,4,4,4,4
Los Angeles,7,7,7,7,7,4,5,7,5,7
Boston,7,4,6,7,7,4,4,4,4,6
Boston,7,7,5,7,7,5,4,7,4,3
Denver,7,6,6,7,6,6,6,6,6,6
Los Angeles,7,7,7,7,7,7,7,7,7,7
Boston,6,6,5,6,6,2,4,4,2,4
Denver,7,7,1,7,7,7,7,7,1,7
Los Angeles,7,7,7,7,7,7,7,7,5,7
Denver,7,4,4,7,7,4,3,4,4,4
Los Angeles,7,7,7,7,7,7,4,1,1,4
Los Angeles,7,7,7,7,7,4,1,5,3,5
Denver,5,5,6,6,6,5,4,5,3,4
Boston,7,7,7,7,7,7,5,4,1,5
Denver,7,7,4,7,7,1,1,4,1,4
Los Angeles,6,6,6,6,6,2,2,2,2,6
Boston,5,4,5,5,5,2,2,4,4,4
Boston,5,5,5,6,5,4,4,5,6,4
Los Angeles,5,4,4,4,4,3,4,7,7,5
Denver,7,7,7,7,7,4,4,5,4,4
Boston,7,7,6,6,7,6,5,6,5,6
Denver,6,6,6,6,2,5,4,6,5,5
Los Angeles,6,3,6,6,7,3,2,5,2,6
Denver,7,5,6,7,7,3,2,5,5,2
Boston,7,7,7,7,7,7,7,7,7,4
Boston,6,6,7,7,7,5,5,6,4,3
