Sample_No,Date_Sampled,Sample_Point,Zone,Result,Units
5457893,2018-01-23,090B05,Dunolly,0.1,NTU
5385843,2017-11-14,090C04,Tarnagulla,0.2,NTU
5344513,2017-10-24,090A04,Laanecoorie,0.2,NTU
5386383,2017-11-27,090C01,Tarnagulla,0.2,NTU
5386384,2017-11-27,090D02,Bealiba,0.1,NTU
5577886,2018-03-14,090B04,Dunolly,0.1,NTU
5472306,2018-03-14,090D07,Bealiba,0.05,NTU
5610391,2018-04-10,090A05,Laanecoorie,0.2,NTU
5580263,2018-04-10,090D03,Bealiba,0.05,NTU
5610392,2018-04-10,090B03,Dunolly,0.05,NTU
5457391,2018-01-09,090C02,Tarnagulla,0.2,NTU
5569723,2018-03-08,090D03,Bealiba,0.05,NTU
5460723,2018-03-08,090A05,Laanecoorie,0.1,NTU
5459743,2018-02-06,090A01,Laanecoorie,0.3,NTU
5569722,2018-03-08,090C03,Tarnagulla,0.1,NTU
5472305,2018-03-14,090C01,Tarnagulla,0.05,NTU
5459746,2018-02-06,090D08,Bealiba,0.1,NTU
5580530,2018-04-17,090D07,Bealiba,0.1,NTU
5386160,2017-11-21,090B05,Dunolly,0.1,NTU
5386161,2017-11-21,090C03,Tarnagulla,0.2,NTU
5457894,2018-01-23,090C03,Tarnagulla,0.2,NTU
5385840,2017-11-14,090A05,Laanecoorie,0.3,NTU
5386382,2017-11-27,090B07,Dunolly,0.1,NTU
5385842,2017-11-14,090B01,Dunolly,0.1,NTU
5385845,2017-11-14,090D03,Bealiba,0.05,NTU
5555675,2018-02-20,090D07,Bealiba,0.1,NTU
5174307,2017-05-02,090A01,Laanecoorie,0.2,NTU
5172052,2017-05-02,090D02,Bealiba,0.1,NTU
5282298,2017-09-12,090B01,Dunolly,0.1,NTU
5344515,2017-10-24,090C03,Tarnagulla,0.2,NTU
5385531,2017-11-07,090D02,Bealiba,0.2,NTU
5282297,2017-09-12,090A01,Laanecoorie,0.3,NTU
5282306,2017-09-12,090C03,Tarnagulla,0.2,NTU
5459468,2018-01-30,090A05,Laanecoorie,0.3,NTU
5577885,2018-03-14,090A01,Laanecoorie,0.3,NTU
5343929,2017-10-10,090A05,Laanecoorie,0.8,NTU
5282588,2017-09-19,090C04,Tarnagulla,0.2,NTU
5172051,2017-05-02,090C01,Tarnagulla,0.3,NTU
5343571,2017-10-03,090C01,Tarnagulla,0.3,NTU
5343572,2017-10-03,090D02,Bealiba,0.1,NTU
5343570,2017-10-03,090B03,Dunolly,0.1,NTU
5385529,2017-11-07,090B04,Dunolly,0.2,NTU
5386687,2017-12-05,090B03,Dunolly,0.2,NTU
5580961,2018-05-01,090A04,Laanecoorie,0.3,NTU
5580529,2018-04-17,090C04,Tarnagulla,0.1,NTU
5459745,2018-02-06,090C01,Tarnagulla,0.2,NTU
5460502,2018-02-27,090C04,Tarnagulla,0.1,NTU
5459744,2018-02-06,090B03,Dunolly,0.2,NTU
5459469,2018-01-30,090B07,Dunolly,0.1,NTU
5580766,2018-04-25,090A03,Laanecoorie,0.3,NTU
5480801,2018-03-20,090A03,Laanecoorie,0.05,NTU
5585095,2018-03-20,090D08,Bealiba,0.05,NTU
5555665,2018-02-20,090C01,Tarnagulla,0.4,NTU
5559952,2018-02-27,090A02,Laanecoorie,0.2,NTU
5459481,2018-01-30,090D03,Bealiba,0.1,NTU
5459470,2018-01-30,090C01,Tarnagulla,0.2,NTU
5580518,2018-04-17,090A01,Laanecoorie,0.3,NTU
5460261,2018-02-20,090B02,Dunolly,0.05,NTU
5580769,2018-04-25,090D08,Bealiba,0.2,NTU
5580767,2018-04-25,090B02,Dunolly,0.1,NTU
5460009,2018-02-13,090D01,Bealiba,0.1,NTU
5281318,2017-08-15,090C03,Tarnagulla,0.3,NTU
5281319,2017-08-15,090D03,Bealiba,0.1,NTU
5460724,2018-03-08,090B08,Dunolly,0.05,NTU
5596574,2018-03-27,090A04,Laanecoorie,0.05,NTU
5596579,2018-03-27,090B05,Dunolly,0.05,NTU
5690252,2018-07-03,090A03,Laanecoorie,0.1,NTU
5580964,2018-05-01,090D01,Bealiba,0.05,NTU
5580963,2018-05-01,090C02,Tarnagulla,0.2,NTU
5690792,2018-07-17,090C03,Tarnagulla,0.1,NTU
5605607,2018-04-04,090C01,Tarnagulla,0.05,NTU
